id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_puskesmas,alamat,lat,long,tahun
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,CIBUNTU,JL. SYAHBANDAR,-6.9253,107.5748,2023
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,CIGADUNG,JL. CIGADUNG RAYA BARAT NO. 12,-6.8782,107.6236,2023
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,CIGONDEWAH,JL. TERUSAN HOLIS,-6.934,107.5636,2023
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,CIJAGRA BARU,JL. CIJAGRA NO. 28,-6.9454,107.6267,2023
21,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,CIJAGRA LAMA,JL. BUAH BATU,-6.9473,107.6328,2023
22,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,CIJERAH,JL. MELONG ASIH,-6.922,107.567,2023
23,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,CIKUTRA LAMA,JL. CIKUTRA BARAT NO. 118,-6.8913,107.6274,2023
24,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,CILENGKRANG,JL. CILENGKRANG 1,-6.9139,107.7193,2023
25,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,CINAMBO,JL. GEDEBAGE NO. 19 A BANDUNG,-6.9405,107.6918,2023
26,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,CIPADUNG,JL. CIGAGAK RT 01 RW15,-6.9157,107.7235,2023
