kecamatan,gender,latitude,longitude,luas_m2,harga,harga_per_m2
coblong,Kos Putra,-6.886206,107.618211,10.5,1300000,123809.52380952382
coblong,Kos Campur,-6.8912455898163,107.62476958867,7.5,1150000,153333.33333333334
cibeunying kidul,Kos Putri,-6.8955397736688,107.64594686396,12.0,764200,63683.333333333336
cimenyan,Kos Putra,-6.878424,107.633982,12.0,1025000,85416.66666666667
coblong,Kos Putri,-6.889871,107.617983,9.600000000000001,950000,98958.33333333331
coblong,Kos Putra,-6.8891544157007,107.61640788513,6.25,808200,129312.0
cibeunying kaler,Kos Putra,-6.8971730404579,107.63218811347,16.0,1267000,79187.5
cimenyan,Kos Putra,-6.888007,107.647313,12.0,1700000,141666.66666666666
cibeunying kaler,Kos Putra,-6.8879323,107.6275914,12.0,1220000,101666.66666666667
cibeunying kaler,Kos Campur,-6.8893463,107.6304052,12.0,750000,62500.0
coblong,Kos Putra,-6.8883722839966,107.61739756912,9.0,900000,100000.0
coblong,Kos Campur,-6.88336,107.61858,12.0,2500000,208333.33333333334
coblong,Kos Putri,-6.8810988793375,107.61625814953,18.0,2600000,144444.44444444444
coblong,Kos Campur,-6.890559,107.625911,12.0,900000,75000.0
cibeunying kaler,Kos Putri,-6.8977527,107.6306764,12.0,850000,70833.33333333333
cibeunying kaler,Kos Putri,-6.8809788288294,107.62300908566,9.0,1400000,155555.55555555556
coblong,Kos Putri,-6.887954,107.619894,20.0,1200000,60000.0
coblong,Kos Campur,-6.8783052802243,107.61830449104,9.0,1500000,166666.66666666666
coblong,Kos Putra,-6.890466,107.624172,12.0,800000,66666.66666666667
coblong,Kos Campur,-6.886563,107.61855,12.0,1000000,83333.33333333333
cibeunying kaler,Kos Campur,-6.888417,107.63011,12.0,1500000,125000.0
coblong,Kos Putra,-6.8853492761358,107.62006770819,9.0,1800000,200000.0
cibeunying kaler,Kos Campur,-6.902196,107.630439,7.0,750000,107142.85714285714
batununggal,Kos Putri,-6.911877,107.642446,9.0,800000,88888.88888888889
cibeunying kaler,Kos Campur,-6.8832599210848,107.62907356024,9.0,950000,105555.55555555556
cimenyan,Kos Campur,-6.8864999,107.6344822,12.0,1500000,125000.0
coblong,Kos Campur,-6.885068,107.623175,12.0,2000000,166666.66666666666
coblong,Kos Campur,-6.883139,107.62003,12.0,2000000,166666.66666666666
coblong,Kos Campur,-6.8962822080882,107.62222386897,9.0,1000000,111111.11111111111
cibeunying kidul,Kos Putri,-6.9011910610768,107.64143519104,12.0,650000,54166.666666666664
bandung wetan,Kos Campur,-6.910741,107.630005,12.25,1350000,110204.08163265306
coblong,Kos Putra,-6.8871437108948,107.61649265885,9.600000000000001,1220000,127083.33333333331
cibeunying kaler,Kos Putri,-6.897756,107.626884,9.0,650000,72222.22222222222
coblong,Kos Campur,-6.883193,107.620052,9.0,2100000,233333.33333333334
coblong,Kos Campur,-6.8859155,107.6193198,9.0,2250000,250000.0
cibeunying kaler,Kos Putra,-6.888654,107.628352,9.0,1350000,150000.0
cibeunying kidul,Kos Putra,-6.9010785587777,107.64250002801,9.0,1100000,122222.22222222222
cibeunying kaler,Kos Putra,-6.8957217,107.6307451,9.0,1150000,127777.77777777778
cibeunying kaler,Kos Putri,-6.897162,107.627618,12.0,700000,58333.333333333336
cibeunying kaler,Kos Campur,-6.8930828387663,107.63106845319,12.0,950000,79166.66666666667
coblong,Kos Putra,-6.88122,107.617373,12.0,750000,62500.0
coblong,Kos Putra,-6.887144,107.616493,10.5,1350000,128571.42857142857
cibeunying kaler,Kos Putri,-6.897756,107.626884,3.0,550000,183333.33333333334
cibeunying kidul,Kos Putri,-6.9024465582925,107.63835668564,8.0,1500000,187500.0
coblong,Kos Putra,-6.8887810309933,107.61684000492,9.0,750000,83333.33333333333
coblong,Kos Campur,-6.8839818929877,107.6184174791,20.0,1800000,90000.0
coblong,Kos Putra,-6.880834,107.618009,12.0,950000,79166.66666666667
cibeunying kaler,Kos Campur,-6.8987144,107.6249667,8.100000000000001,1050000,129629.6296296296
coblong,Kos Putri,-6.892614384701,107.61926473069,12.0,1100000,91666.66666666667
kiaracondong,Kos Campur,-6.906712,107.650672,9.0,600000,66666.66666666667
coblong,Kos Putri,-6.88040897013,107.61795043945,9.0,1600000,177777.77777777778
coblong,Kos Campur,-6.88575,107.620197,9.0,900000,100000.0
cibeunying kaler,Kos Putri,-6.904561,107.630283,9.0,850000,94444.44444444444
coblong,Kos Putri,-6.8934729419665,107.62183428735,12.0,1150000,95833.33333333333
coblong,Kos Putra,-6.890744,107.6280512,12.0,1400000,116666.66666666667
cibeunying kidul,Kos Putra,-6.908427,107.632167,12.0,1100000,91666.66666666667
cibeunying kaler,Kos Campur,-6.8968894,107.6382925,10.5,1350000,128571.42857142857
kiaracondong,Kos Campur,-6.9123572804359,107.64673054218,12.87,1600000,124320.12432012433
antapani,Kos Putri,-6.914223,107.653929,12.0,1000000,83333.33333333333
cibeunying kaler,Kos Putra,-6.8872848421851,107.62792993337,9.0,870000,96666.66666666667
coblong,Kos Putri,-6.8970114,107.6238426,9.0,1300000,144444.44444444444
coblong,Kos Putra,-6.887143,107.618087,14.0,1400000,100000.0
coblong,Kos Putra,-6.880518,107.617963,16.0,1220000,76250.0
cibeunying kaler,Kos Campur,-6.902196,107.630439,8.75,950000,108571.42857142857
cibeunying kaler,Kos Campur,-6.902196,107.630439,9.0,850000,94444.44444444444
coblong,Kos Campur,-6.894562,107.622566,12.0,800000,66666.66666666667
bandung wetan,Kos Campur,-6.910741,107.630005,8.64,950000,109953.7037037037
cibeunying kaler,Kos Campur,-6.8886648643339,107.62789271772,9.0,900000,100000.0
cibeunying kaler,Kos Campur,-6.8791148025062,107.62744545937,10.5,1250000,119047.61904761905
coblong,Kos Putra,-6.885993,107.620062,8.399999999999999,2000000,238095.23809523814
coblong,Kos Campur,-6.897663,107.621312,12.0,1750000,145833.33333333334
cibeunying kaler,Kos Campur,-6.8943411,107.6389545,12.0,1200000,100000.0
cibeunying kidul,Kos Putri,-6.897381,107.645877,9.0,750000,83333.33333333333
cibeunying kidul,Kos Putri,-6.8998064155355,107.63511389494,12.0,1350000,112500.0
cibeunying kaler,Kos Campur,-6.900529,107.629742,12.0,550000,45833.333333333336
coblong,Kos Putra,-6.8907834867593,107.6249563694,9.0,950000,105555.55555555556
cibeunying kaler,Kos Putra,-6.898709,107.641536,6.75,800000,118518.51851851853
cibeunying kaler,Kos Putri,-6.8958566,107.6422576,7.5,1200000,160000.0
cibeunying kidul,Kos Putri,-6.8995660817822,107.63493379231,12.0,1450000,120833.33333333333
coblong,Kos Campur,-6.8878217398465,107.62447960675,16.0,2600000,162500.0
cibeunying kaler,Kos Campur,-6.8987146,107.6248681,9.0,750000,83333.33333333333
cibeunying kaler,Kos Putra,-6.8958475052018,107.6348406449,9.0,1000000,111111.11111111111
coblong,Kos Putra,-6.890915,107.622487,9.0,800000,88888.88888888889
coblong,Kos Putri,-6.8866447,107.6165783,9.0,550000,61111.11111111111
coblong,Kos Putra,-6.886859,107.616475,12.0,1650000,137500.0
bandung wetan,Kos Campur,-6.910741,107.630005,10.240000000000002,1250000,122070.31249999997
cibeunying kaler,Kos Campur,-6.8886648643339,107.62789271772,12.0,900000,75000.0
kiaracondong,Kos Campur,-6.90389,107.653455,12.0,850000,70833.33333333333
antapani,Kos Putri,-6.913104,107.652353,20.0,1500000,75000.0
coblong,Kos Putri,-6.886142,107.618794,7.839999999999999,2200000,280612.24489795923
coblong,Kos Putri,-6.886142,107.618794,8.7,2200000,252873.56321839083
coblong,Kos Putri,-6.8896011,107.6252403,9.0,1500000,166666.66666666666
coblong,Kos Putri,-6.898539,107.61654,15.0,2400000,160000.0
cibeunying kaler,Kos Putri,-6.8999,107.630947,10.0,1100000,110000.0
